United States,"140,498,736","146,770,711","6,271,975",4.5,(X),(X),(X),(X),,,,,,
.Alabama,"2,288,337","2,381,817","93,480",4.1,24,24,19,20,,,,,,
.Alaska,"326,199","330,463","4,264",1.3,50,50,51,48,,,,,,
.Arizona,"3,081,997","3,299,651","217,654",7.1,14,14,6,9,,,,,,
.Arkansas,"1,365,266","1,421,037","55,771",4.1,31,31,31,21,,,,,,
.California,"14,392,141","14,877,904","485,763",3.4,1,1,3,28,,,,,,
.Colorado,"2,491,404","2,676,415","185,011",7.4,21,20,11,8,,,,,,
.Connecticut,"1,530,193","1,554,121","23,928",1.6,29,29,42,46,,,,,,
.Delaware,"448,735","476,405","27,670",6.2,45,45,39,13,,,,,,
.District of Columbia,"350,365","368,736","18,371",5.2,48,48,44,15,,,,,,
.Florida,"9,865,359","10,629,918","764,559",7.7,3,3,2,6,,,,,,
.Georgia,"4,410,948","4,668,859","257,911",5.8,10,10,5,14,,,,,,
.Hawaii,"561,064","572,781","11,717",2.1,42,42,46,42,,,,,,
.Idaho,"751,858","832,675","80,817",10.7,39,39,23,2,,,,,,
.Illinois,"5,426,431","5,482,770","56,339",1.0,6,6,30,50,,,,,,
.Indiana,"2,923,177","3,026,199","103,022",3.5,17,17,16,25,,,,,,
.Iowa,"1,412,790","1,458,797","46,007",3.3,30,30,33,30,,,,,,
.Kansas,"1,275,683","1,310,506","34,823",2.7,34,34,36,37,,,,,,
.Kentucky,"1,994,307","2,051,075","56,768",2.8,26,26,29,35,,,,,,
.Louisiana,"2,073,197","2,138,991","65,794",3.2,25,25,25,31,,,,,,
.Maine,"739,071","764,778","25,707",3.5,40,40,40,26,,,,,,
.Maryland,"2,530,847","2,588,397","57,550",2.3,20,22,27,39,,,,,,
.Massachusetts,"2,998,547","3,058,052","59,505",2.0,16,16,26,44,,,,,,
.Michigan,"4,570,168","4,670,131","99,963",2.2,9,9,17,41,,,,,,
.Minnesota,"2,485,560","2,597,286","111,726",4.5,22,21,15,18,,,,,,
.Mississippi,"1,319,943","1,359,303","39,360",3.0,32,33,34,33,,,,,,
.Missouri,"2,786,618","2,858,603","71,985",2.6,18,18,24,38,,,,,,
.Montana,"514,800","539,670","24,870",4.8,43,43,41,16,,,,,,
.Nebraska,"844,276","881,148","36,872",4.4,38,37,35,19,,,,,,
.Nevada,"1,281,017","1,365,961","84,944",6.6,33,32,21,11,,,,,,
.New Hampshire,"638,800","657,232","18,432",2.9,41,41,43,34,,,,,,
.New Jersey,"3,761,236","3,818,712","57,476",1.5,11,11,28,47,,,,,,
.New Mexico,"940,857","974,158","33,301",3.5,36,36,37,23,,,,,,
.New York,"8,488,064","8,677,605","189,541",2.2,4,4,9,40,,,,,,
.North Carolina,"4,708,715","5,073,639","364,924",7.7,8,8,4,5,,,,,,
.North Dakota,"370,642","383,085","12,443",3.4,47,47,45,29,,,,,,
.Ohio,"5,242,525","5,336,940","94,415",1.8,7,7,18,45,,,,,,
.Oklahoma,"1,746,812","1,800,410","53,598",3.1,28,28,32,32,,,,,,
.Oregon,"1,813,746","1,896,933","83,187",4.6,27,27,22,17,,,,,,
.Pennsylvania,"5,742,838","5,861,503","118,665",2.1,5,5,14,43,,,,,,
.Rhode Island,"483,468","488,030","4,562",0.9,44,44,50,51,,,,,,
.South Carolina,"2,344,968","2,531,444","186,476",8.0,23,23,10,4,,,,,,
.South Dakota,"393,371","423,789","30,418",7.7,46,46,38,7,,,,,,
.Tennessee,"3,031,609","3,243,988","212,379",7.0,15,15,7,10,,,,,,
.Texas,"11,589,313","12,617,283","1,027,970",8.9,2,2,1,3,,,,,,
.Utah,"1,151,414","1,283,337","131,923",11.5,35,35,12,1,,,,,,
.Vermont,"334,318","343,640","9,322",2.8,49,49,49,36,,,,,,
.Virginia,"3,618,240","3,746,256","128,016",3.5,12,12,13,24,,,,,,
.Washington,"3,202,240","3,400,917","198,677",6.2,13,13,8,12,,,,,,
.West Virginia,"855,648","866,444","10,796",1.3,37,38,47,49,,,,,,
.Wisconsin,"2,727,726","2,821,094","93,368",3.4,19,19,20,27,,,,,,
.Wyoming,"271,888","281,823","9,935",3.7,51,51,48,22,,,,,,
