States,State_Abbrev,April_Estimate_2020,July_Estimate_2024
Alabama,AL,2288337.0,2381817.0
Alaska,AK,326199.0,330463.0
Arizona,AZ,3081997.0,3299651.0
Arkansas,AR,1365266.0,1421037.0
California,CA,14392141.0,14877904.0
Colorado,CO,2491404.0,2676415.0
Connecticut,CT,1530193.0,1554121.0
Delaware,DE,448735.0,476405.0
District of Columbia,,350365.0,368736.0
Florida,FL,9865359.0,10629918.0
Georgia,GA,4410948.0,4668859.0
Hawaii,HI,561064.0,572781.0
Idaho,ID,751858.0,832675.0
Illinois,IL,5426431.0,5482770.0
Indiana,IN,2923177.0,3026199.0
Iowa,IA,1412790.0,1458797.0
Kansas,KS,1275683.0,1310506.0
Kentucky,KY,1994307.0,2051075.0
Louisiana,LA,2073197.0,2138991.0
Maine,ME,739071.0,764778.0
Maryland,MD,2530847.0,2588397.0
Massachusetts,MA,2998547.0,3058052.0
Michigan,MI,4570168.0,4670131.0
Minnesota,MN,2485560.0,2597286.0
Mississippi,MS,1319943.0,1359303.0
Missouri,MO,2786618.0,2858603.0
Montana,MT,514800.0,539670.0
Nebraska,NE,844276.0,881148.0
Nevada,NV,1281017.0,1365961.0
New Hampshire,NH,638800.0,657232.0
New Jersey,NJ,3761236.0,3818712.0
New Mexico,NM,940857.0,974158.0
New York,NY,8488064.0,8677605.0
North Carolina,NC,4708715.0,5073639.0
North Dakota,ND,370642.0,383085.0
Ohio,OH,5242525.0,5336940.0
Oklahoma,OK,1746812.0,1800410.0
Oregon,OR,1813746.0,1896933.0
Pennsylvania,PA,5742838.0,5861503.0
Rhode Island,RI,483468.0,488030.0
South Carolina,SC,2344968.0,2531444.0
South Dakota,SD,393371.0,423789.0
Tennessee,TN,3031609.0,3243988.0
Texas,TX,11589313.0,12617283.0
Utah,UT,1151414.0,1283337.0
Vermont,VT,334318.0,343640.0
Virginia,VA,3618240.0,3746256.0
Washington,WA,3202240.0,3400917.0
West Virginia,WV,855648.0,866444.0
Wisconsin,WI,2727726.0,2821094.0
Wyoming,WY,271888.0,281823.0
