Student_Size,Tuition_In_State,Tuition_Out_State,Female_Share,Race_White,Race_Black,Race_Hispanic,Race_Asian,Race_AIAN,Race_NHPI,Race_Two_Or_More,Grad_Rate,School_Name,City,State,id
5726.0,10024.0,18634.0,0.5640301318,0.018,0.9043,0.015,0.0017,0.0012,0.001,0.0182,0.2772,Alabama A & M University,Normal,AL,100654
12118.0,8832.0,21864.0,0.6390907397,0.4832,0.2657,0.0776,0.0915,0.002,0.0007,0.0515,0.6345,University of Alabama at Birmingham,Birmingham,AL,100663
226.0,,,0.6486486486,0.2788,0.6681,0.031,0.0,0.0044,0.0044,0.0,,Amridge University,Montgomery,AL,100690
6650.0,11770.0,24662.0,0.4763499372,0.694,0.0907,0.0719,0.0423,0.0074,0.0015,0.0508,0.624,University of Alabama in Huntsville,Huntsville,AL,100706
3322.0,11248.0,19576.0,0.6134185304,0.0223,0.9082,0.0111,0.0018,0.0015,0.0012,0.0126,0.2884,Alabama State University,Montgomery,AL,100724
32323.0,11900.0,33200.0,0.6152524168,0.7227,0.1103,0.0692,0.0148,0.0029,0.0009,0.0356,0.7322,The University of Alabama,Tuscaloosa,AL,100751
1134.0,5040.0,8850.0,0.6037383178,0.6508,0.2601,0.0423,0.0044,0.0009,0.0,0.0353,0.2261,Central Alabama Community College,Alexander City,AL,100760
2407.0,,,0.705078125,0.7603,0.1172,0.0536,0.0075,0.0137,0.0008,0.0353,,Athens State University,Athens,AL,100812
2693.0,9436.0,20092.0,0.6929480901,0.4218,0.4203,0.0178,0.033,0.0041,0.0011,0.0486,0.3576,Auburn University at Montgomery,Montgomery,AL,100830
25732.0,12536.0,33944.0,0.531504671,0.8303,0.0418,0.0432,0.0283,0.0026,0.0006,0.0299,0.7996,Auburn University,Auburn,AL,100858
713.0,22750.0,22750.0,0.520361991,0.7041,0.1613,0.0799,0.0182,0.0,0.0,0.0154,0.644,Birmingham-Southern College,Birmingham,AL,100937
1044.0,5040.0,8850.0,0.611965812,0.3506,0.4923,0.0824,0.0105,0.001,0.001,0.0575,0.3016,Chattahoochee Valley Community College,Phenix City,AL,101028
302.0,18238.0,18238.0,0.7628668652,0.1755,0.7815,0.0066,0.0066,0.0,0.0,0.0132,0.1143,South University-Montgomery,Montgomery,AL,101116
1476.0,5040.0,8850.0,0.5165876777,0.6152,0.2161,0.0623,0.0108,0.0095,0.002,0.0671,0.2919,Enterprise State Community College,Enterprise,AL,101143
4714.0,4980.0,8790.0,0.6531791908,0.6245,0.2403,0.0482,0.0066,0.0165,0.0019,0.0566,0.2408,Coastal Alabama Community College,Bay Minette,AL,101161
1555.0,23920.0,23920.0,0.6387315968,0.4508,0.4019,0.0559,0.0096,0.0032,0.0013,0.0129,0.3537,Faulkner University,Montgomery,AL,101189
3619.0,4032.0,7080.0,0.6180606958,0.6709,0.1802,0.0729,0.0099,0.003,0.0006,0.0531,0.2822,Gadsden State Community College,Gadsden,AL,101240
39.0,,,,0.8205,0.0,0.1795,0.0,0.0,0.0,0.0,0.5735,New Beginning College of Cosmetology,Albertville,AL,101277
3053.0,4920.0,8730.0,0.667740451,0.5237,0.3344,0.0714,0.0108,0.0016,0.002,0.0481,0.2837,George C Wallace Community College-Dothan,Dothan,AL,101286
4413.0,4980.0,8790.0,0.6312210201,0.763,0.0872,0.0947,0.0075,0.0039,0.0005,0.0363,0.4678,George C Wallace State Community College-Hanceville,Hanceville,AL,101295
828.0,4680.0,8490.0,0.5991341991,0.1329,0.814,0.0133,0.0085,0.0012,0.0,0.0254,0.3762,George C Wallace State Community College-Selma,Selma,AL,101301
445.0,13420.0,13420.0,0.8135465189,0.2674,0.6292,0.0337,0.0022,0.0022,0.0045,0.0337,0.2941,Herzing University-Birmingham,Birmingham,AL,101365
865.0,28650.0,28650.0,0.4704142012,0.6647,0.2,0.0566,0.0046,0.0058,0.0023,0.0462,0.4851,Huntingdon College,Montgomery,AL,101435
63.0,11982.0,11982.0,,0.8254,0.0952,0.0476,0.0,0.0159,0.0,0.0,,Heritage Christian University,Florence,AL,101453
719.0,5130.0,8940.0,0.5610859729,0.249,0.5981,0.0695,0.0056,0.0028,0.0014,0.057,0.1168,J. F. Drake State Community and Technical College,Huntsville,AL,101462
826.0,6084.0,6084.0,0.2293577982,0.4128,0.5375,0.0291,0.0036,0.0024,0.0024,0.0024,0.0958,J F Ingram State Technical College,Deatsville,AL,101471
7030.0,12426.0,22716.0,0.5886792453,0.6011,0.2455,0.0516,0.0065,0.003,0.0011,0.043,0.5172,Jacksonville State University,Jacksonville,AL,101480
5443.0,5040.0,8850.0,0.660555005,0.5574,0.2552,0.1034,0.0217,0.0024,0.0002,0.0371,0.2243,Jefferson State Community College,Birmingham,AL,101505
6928.0,5060.0,8870.0,0.5809480192,0.6136,0.1682,0.1015,0.0199,0.0101,0.0017,0.0745,0.3808,John C Calhoun State Community College,Tanner,AL,101514
2720.0,4980.0,8790.0,0.5682182986,0.1051,0.7985,0.0474,0.0037,0.0007,0.0011,0.0379,0.2427,Lawson State Community College,Birmingham,AL,101569
2666.0,10990.0,20090.0,0.5577586207,0.4745,0.3807,0.0323,0.0019,0.0075,0.0004,0.0263,0.3823,University of West Alabama,Livingston,AL,101587
1122.0,4980.0,8790.0,0.624417521,0.6845,0.2228,0.0303,0.008,0.0036,0.0009,0.0446,0.3752,Lurleen B Wallace Community College,Andalusia,AL,101602
308.0,9538.0,15538.0,0.2340425532,0.5455,0.2727,0.0877,0.013,0.0097,0.0032,0.0584,0.2898,Marion Military Institute,Marion,AL,101648
1151.0,12714.0,12714.0,0.4668079096,0.0252,0.9513,0.0182,0.0009,0.0,0.0,0.0026,0.2609,Miles College,Fairfield,AL,101675
1079.0,26120.0,26120.0,0.6732804233,0.6228,0.1761,0.0315,0.013,0.0204,0.0019,0.0575,0.5067,University of Mobile,Mobile,AL,101693
2087.0,13710.0,26730.0,0.6827586207,0.6555,0.1639,0.0733,0.0053,0.0043,0.0005,0.0326,0.5204,University of Montevallo,Montevallo,AL,101709
1924.0,5071.0,8881.0,0.6180319922,0.7396,0.1081,0.0915,0.0052,0.0026,0.0016,0.0457,0.2952,Northwest Shoals Community College,Muscle Shoals,AL,101736
5468.0,11990.0,22190.0,0.6013931889,0.7176,0.0949,0.0481,0.0219,0.0038,0.0009,0.0433,0.5314,University of North Alabama,Florence,AL,101879
1547.0,4980.0,8790.0,0.6026296567,0.7285,0.0149,0.1597,0.0045,0.0116,0.0013,0.0763,0.3916,Northeast Alabama Community College,Rainsville,AL,101897
1253.0,21838.0,21838.0,0.5860805861,0.0152,0.6935,0.0774,0.0,0.0024,0.0,0.0255,0.4775,Oakwood University,Huntsville,AL,101912
365.0,6100.0,10700.0,0.7411444142,0.2767,0.6521,0.0137,0.011,0.0055,0.0,0.0384,0.4845,Reid State Technical College,Evergreen,AL,101994
2100.0,5280.0,9090.0,0.6059714045,0.2195,0.6748,0.0229,0.0195,0.0076,0.001,0.0371,0.2241,Bishop State Community College,Mobile,AL,102030
